,PC_0,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19
demographics_gender,0.012397769244458444,-0.01038472245279033,0.016845149273520918,0.0009715146923502161,0.006237199022305264,0.017241067928301067,0.036146507736811676,-0.01768608805413007,-0.06535666036062725,-0.0007322717351183004,0.11634651168210242,-0.004211577203667377,-0.004103060265433051,-0.03228599392947359,0.1456959764498225,-0.10247067383459316,-0.15821499472700082,-0.005830433779368302,-0.11272165290348979,0.16573790841295472
demographics_age,0.0776871843515836,0.04511070638615504,0.15808927896985564,0.00785436744932394,0.14581654940237945,-0.04092849644946104,-0.08045231895713988,-0.029299584311734354,0.027957820652175207,0.008295703044530261,-0.09693302512541956,0.12287401733286715,-0.07928456269753585,0.12232172722380057,0.008307393797003808,-0.012193200990351842,-0.010057608262875677,0.03912338116670632,-0.03746695908556629,-0.03892413965901382
general_anchor_year,0.0009137432949845617,0.003333679213923751,0.002477281957247186,0.0016069560048734516,0.009176022271768265,0.0010421678992309105,-0.019386277991632186,-0.001047869301376301,0.012470599344395572,-0.004985391171175207,-0.00618513478586369,0.006558987286299476,0.010305227282401077,-0.00047693701799971075,0.006255524497354582,0.011751030989227345,-0.005409603852493093,0.01020193903750832,-0.012602520763783138,0.03930697103385244
general_anchor_age,0.07940775566389287,0.04586966345987708,0.1564206584230655,0.00719501838582849,0.14217714317039587,-0.04036011816972343,-0.07366805767379914,-0.02648263511965697,0.022114001170721678,0.008431068570995594,-0.09157121941886648,0.12264677697554315,-0.08351800826827072,0.13130648846618911,0.012952045678127971,-0.010256314835099568,-0.00456951060605314,0.04242437828331979,-0.042267021709103514,-0.046690453447836636
general_mortality_hours,-0.015585675791503165,0.012129149528709436,-0.020249330345129563,-0.004402934722770562,0.1261004400101644,0.009824648414624345,-0.24386958021005206,-0.2172937463786802,0.029792508604608154,0.020655647653937882,0.23561666181094493,0.24817596162285654,-0.030508759825926365,-0.06987429445372957,-0.012696272063577277,-0.007099960155613336,-0.007032036396296382,0.02225687227547047,0.09870844773611381,-0.010255539118723452
general_mortality_days,-0.015608864722001868,0.01212555224020516,-0.020273526933986794,-0.004403870977020716,0.12610418362835313,0.009835238266831029,-0.24387234018259166,-0.21729102111758072,0.029783354040760726,0.02065490127045173,0.23561758464176052,0.24814727646986523,-0.03050386776729341,-0.06986639886484702,-0.012703530480882472,-0.007093958660648864,-0.007024781913674689,0.02226174729977738,0.09870390349494713,-0.010257635523587301
demographics_ethnicity_asian,-0.0005410843919850693,0.004342812766931404,-0.00677676805586334,-0.0013678421990660932,-0.0075528568431563175,-0.015449923883553597,0.002571232354039742,0.01237464739859583,-0.004575155747183651,-0.0052304800232616765,-0.006172560813024807,-0.002692022980108558,-0.0036746836859432455,0.01964954226701619,-0.0372408624678694,0.03197879913825281,-0.01951345329113333,-0.034084254998976736,0.07233549935064261,-0.11210354109201057
demographics_ethnicity_black/african,-0.036300984372892815,-0.022323292121431904,-0.0013973565379647292,0.003290851946558959,-0.015649146006855765,-0.030464382578838548,-0.04566580905033557,0.011952820845237754,0.008419763286390443,-0.001608376712676061,-0.0037081164250032726,-0.027992038295275298,0.088958083296062,-0.20141844786163582,-0.1412420077217756,0.03923008682737333,-0.020615544466535955,-0.04712711314827819,0.08941304126484975,0.04273364793674131
demographics_ethnicity_hispanic/latino,-0.023653529187595283,-0.003205992176856784,-0.02427109403269575,-0.0018564099093400163,-0.010143845193796327,-0.0014189966621717689,-0.005552146724195824,0.026178052446344996,0.004616683877732453,-0.005942202097144067,6.408936665798218e-05,-0.03357632869656708,0.029781878254070204,-0.03452386285098257,-0.07273108537822853,0.02607866357934722,-0.0015380548591517296,0.013537525385545911,0.06124328228983275,-0.00024555724306771237
demographics_ethnicity_other,0.012751382249159879,-0.003690282782418567,0.00797083449481088,-0.002577158450236735,-0.032842003194999164,-0.006396450897781361,0.019352455945703655,0.012794668622273646,-0.06814011046335895,-0.008223851955876667,0.0611833476327397,-0.03328276921212425,0.024705115388042022,-0.00924709431774421,-0.07765483626796045,0.0503964546006285,0.0463475864158032,0.01352224436330484,0.014405292650945159,-0.03301779684241518
demographics_ethnicity_white,0.036258883043381575,0.020592528877676493,0.012315273165142693,9.802300902970726e-05,0.03850296274428737,0.03553589266979296,0.02995879698336124,-0.035172677056238465,0.027982987645007652,0.010781375172595932,-0.026572498122353,0.05943230044586741,-0.10146483814648227,0.18369718719690367,0.21118875070459553,-0.08519087213568284,0.0013268575022485746,0.03842255219252216,-0.14231308863013373,0.02504396904763658
biometrics_bmi,-0.020084813333977176,-0.022561891708975344,-0.009195182724622839,0.0017778668748721993,0.018998189635102133,0.05232245697839822,-0.02060186175779064,0.008988560506550147,-0.008835751608974726,0.006979852780294252,0.0341042686519237,-0.09246117644373511,0.07048321521234714,-0.13408003499394597,-0.015312102852093829,-0.03567910874338064,-0.0966699010608353,0.11299764457584188,-0.11623446619706676,0.4176342894477922
biometrics_weight,-0.020819772036176826,-0.028820129350841696,-0.012104662176644802,0.0011518495196606486,0.009105098801662787,0.05746646781050466,6.227141060760349e-05,0.0011775705474346512,-0.027364198197047412,0.007988889710051964,0.07162914594071795,-0.10056839609695054,0.07402641717530757,-0.1556210292775724,0.04450307086005109,-0.074368347072184,-0.14120344337630425,0.10568914914569257,-0.15815838588815131,0.4756068181827241
biometrics_height,-0.004203672074218225,-0.012224890063600686,-0.00722545809597187,-0.0007759651594887754,-0.012182159153233636,0.016724307572178413,0.03183699535934014,-0.010813442431819118,-0.03565756560370531,0.0026547344818897305,0.07197640098969957,-0.029326644966298755,0.017835702440456118,-0.06655367039128197,0.11404317362385422,-0.08734666897621178,-0.11631051336390513,0.012730978455556577,-0.1128792444920783,0.20330548619586675
vitals_temperature_mean,0.09383301355661987,-0.11447455790610542,-0.19413882994669396,0.0005819338337972429,0.16928742040274447,-0.2592585471334713,0.07600926029738192,0.029493582692974224,-0.06476104361485059,-4.689288616017194e-05,0.019238474133328243,0.009108693080998098,0.006369483049278054,-0.04281393915663684,0.010277969164523879,-0.016505647444947622,-0.021408977401093657,-0.013619580359041625,-0.01878670315499422,-0.020054764350644426
vitals_temperature_median,0.09368165889230473,-0.1142686236789878,-0.19403847920326153,0.0005789082067192646,0.16913996038966525,-0.2593459071930712,0.07599592845984923,0.029591045046752657,-0.06437395660042554,-6.222670494611792e-05,0.019289716248676037,0.009198349592161117,0.006271658170351669,-0.042912149460891,0.01024096784453573,-0.016545174597076225,-0.02168746745468273,-0.013270448317466137,-0.019377808005350987,-0.020384924948236103
vitals_temperature_min,0.08289708261910685,-0.10699596208037682,-0.18892166939863309,-0.0015589896142381144,0.16590671321515257,-0.2596361407200361,0.07616289163958963,0.03503045328697055,-0.04320602286987694,0.00043760070338859293,0.03877730263000186,0.009326938310918843,0.005777614520172941,-0.04926810051305995,-0.0005820293696821,-0.013140442808884916,-0.037701020761922596,-0.0022524568451872413,-0.08606265191055688,-0.06643654336760324
vitals_temperature_max,0.09989088279823992,-0.11642677076552475,-0.1902695774237784,0.0025464507885230706,0.1648723842293771,-0.24704045132044208,0.07242499996544009,0.022898098344108032,-0.0822401862890511,-0.00047645655125551296,0.00013946604901597797,0.008403573128908154,0.00672153664834728,-0.034752186927592035,0.019945187928531814,-0.01884036704222674,-0.005009311307618999,-0.023899006934382083,0.04520935989369524,0.024315715012915046
vitals_temperature_std,0.05409573428172136,-0.04011886978696697,-0.03438055381609707,0.009656846980191662,0.025022463707774063,-0.012974841443053976,0.003643825559708734,-0.02300863105270592,-0.10016235663654491,-0.0021540779307392456,-0.08581740159287965,-0.000581737573788723,0.0032136842613707537,0.026515739049533544,0.04919213361533936,-0.015808566871505107,0.0719341231267445,-0.05204348119676129,0.2998432012359348,0.2062803276681253
vitals_temperature_first,0.08620533289892647,-0.10884568116348221,-0.19027669627827984,-0.0018432507486844838,0.16491231644580748,-0.2563806183342215,0.07550158251391842,0.030531328054379588,-0.04768952677716779,0.0007586308320706184,0.03082964244703202,0.008725303193625923,0.004721443059125311,-0.04603992838718947,0.0010900476573749652,-0.012555797622574276,-0.042234850362494865,0.001246347711419543,-0.106775914491268,-0.08367235317251087
vitals_temperature_last,0.09645976252414654,-0.11443216537427246,-0.18901364734725692,0.002887940829509957,0.16581058338766202,-0.2503780800951024,0.07279393478718314,0.027292926098020562,-0.07793942174405717,-0.0008168448061497576,0.00812812350986332,0.00937407239622146,0.0077370785880836864,-0.03803583060831252,0.018720002472088982,-0.019331800266546652,-0.00012556760868471812,-0.02744374032048193,0.06706245920050444,0.0424515952683893
vitals_temperature_rate_change,0.028588049706530155,-0.018834400682258702,-0.0076602406629836875,0.010720972680676904,0.010332471717397297,0.0013055111532324951,-0.002380586118944116,-0.006801924594713753,-0.07408220593567745,-0.003605850184185756,-0.053708601527908115,0.0021694676165256665,0.007010550360225141,0.017294464656618415,0.042019628356227044,-0.016666566210646175,0.09812773987142297,-0.06810205250484128,0.40964324596807544,0.296728871536229
vitals_temperature_coeff,0.02257948728327147,-0.016543424280800325,-0.011833205851656545,0.006768787783447283,0.009906732328101856,-0.003998057531657589,-0.002894453310163535,-0.002072089207815218,-0.05950995363908531,-0.0026528129769704868,-0.039655488910414316,0.004395183729078496,0.004896607210983641,0.012105640415210854,0.035009760121381864,-0.017810484223334408,0.087136275110535,-0.056714085362506314,0.36930605700210856,0.2677681964672919
vitals_heartrate_mean,0.10226883141716948,-0.21279902016837923,-0.1324402053848354,-0.005670842338678554,-0.1605507431237266,0.06462137900864043,0.024897422367937853,-0.14378868413679946,0.14385934071382198,0.0014218823357638748,-0.04231429261922383,0.0452477031213597,-0.00919671084782012,0.035464977735674225,-0.08777846170313543,0.038520520833079205,-0.031641021619760824,0.0497181023222485,-0.020348725489152553,0.03827394008825938
vitals_heartrate_median,0.10105852905757103,-0.2111766716059085,-0.1311133293654413,-0.005656879330708881,-0.15877578169743659,0.06311253933092159,0.02508789887085299,-0.14180086718030827,0.14555863219850654,0.0016128346638844705,-0.03896036493031034,0.04350584843765317,-0.008710626597804177,0.03492277044859744,-0.08746768928444079,0.03938635028750683,-0.030104839837456734,0.04804451796873426,-0.019428419957854232,0.04032835728513101
vitals_heartrate_min,0.08514006767742673,-0.20045215605612432,-0.12611492291501786,-0.004566559475044404,-0.14497998949082258,0.03501410140789624,0.028067992634713757,-0.12012919734062741,0.21685614244112342,-0.0008962675341752765,0.01602337369164823,0.007369940056738561,-0.0008662049678794786,0.036459828589581286,-0.10228259259367607,0.05155140689059029,-0.02102107353098608,0.044817946501959416,-0.022990363512645422,0.04824366007085212
vitals_heartrate_max,0.10848352231647809,-0.20524749765785044,-0.12676086759236643,-0.00624511448576384,-0.16087761437440984,0.0851240864082299,0.019743457843065693,-0.15285564412189773,0.06693121269543882,0.003193196490891255,-0.09133651312607118,0.0752505959079933,-0.015575389107052175,0.03198420205887502,-0.06829903010154499,0.023228925688219087,-0.0391825539358406,0.05163499980535409,-0.01777052662413602,0.023870858380762035
vitals_heartrate_std,0.06461299344355952,-0.07030941979304985,-0.038071252582399864,-0.0032053346983618417,-0.06498112742692012,0.10025150803323668,-0.004061382994326777,-0.094831135205574,-0.19991192159854332,0.007142119848605843,-0.19832551329679765,0.1209304620921054,-0.026811154037869444,0.0054560302105540045,0.03333480790214333,-0.0378067884247775,-0.04021770620067807,0.02379729267748895,0.0030909245493749076,-0.026833298691485617
vitals_heartrate_first,0.09889562589190881,-0.20551153898898555,-0.13223144897904798,-0.007365176527960668,-0.15942060796249785,0.07374406259005682,0.023724150956660493,-0.14917995329770758,0.10442570604671146,0.00139267489060469,-0.0840848864847331,0.07263309942158079,-0.014566923988784179,0.03512166196924021,-0.08346270630963262,0.026667352301163752,-0.05786765984041999,0.06799997218431704,-0.02983710404135992,0.009530537717099065
vitals_heartrate_last,0.09692838595883814,-0.2012295941599809,-0.12134286148432356,-0.0034000520772977196,-0.14956077416167893,0.046616746609796075,0.024430594880194462,-0.1240760461371375,0.18164738534997985,0.0008921488351690779,0.012851891247894048,0.010107579831131102,-0.002320469691722482,0.03284768537851359,-0.0885452382612601,0.050086369902905124,-0.001856140680314323,0.028094397267175258,-0.012353734665710651,0.06272632016616043
vitals_heartrate_rate_change,-0.012000757854487702,0.036068156774966484,0.03375719386648366,0.007606472447531258,0.02959446597498932,-0.03637125055125717,-0.0079706471516593,0.05418092732904231,0.06319895870431069,0.001349061359524604,0.14411425385116972,-0.09103732528607528,0.01545410321864108,-0.01163707848257466,0.020631909020372128,0.02407882333861305,0.09991515961259897,-0.08333376742985647,0.03487932503542927,0.08649559585055766
vitals_heartrate_coeff,-0.014757472602064049,0.03249060798211919,0.023391222578650384,0.0039902687720083695,0.030136286323298032,-0.03340283905978126,-0.0014892844172684264,0.04865977588229272,0.0482710497165059,9.388215486372908e-05,0.12360040999037195,-0.08406553084509681,0.01894350840433678,-0.013278440993188284,0.023027722107097852,0.027352175960209203,0.0935246367889294,-0.07050411351711242,0.03027304905076907,0.07407530887910642
vitals_resprate_mean,0.1421711293226954,-0.1504810747075995,0.005689793249750192,0.0019893918445278254,0.01775168443581366,0.0806705750888804,-0.24296397281848534,0.2647002910277133,0.035758916467598614,-0.004202793894771724,0.007794148395766711,-0.032985628145916046,0.005980474273822032,-0.02077894804602852,0.03404662018348116,-0.013838966925183474,0.0024915423586883804,-0.0018399985843848949,0.010235530889596193,-0.030974281657592865
vitals_resprate_median,0.13982822397012312,-0.1477999957691622,0.005428735073458275,0.0019211137044542932,0.01845698528835457,0.07718229320964513,-0.23971305903118972,0.2633812892928345,0.04149819291633941,-0.004618920576296105,0.01194921696378904,-0.03447597444040075,0.006538531412338334,-0.020135176465274556,0.03271501520341688,-0.012604360186381374,0.0032947547553758513,-0.0020329764510932354,0.010205079167222544,-0.02930609822109197
vitals_resprate_min,0.09300356565608706,-0.12114869500407299,0.0045348891954978335,0.0019173396865641683,0.022453638309369355,0.040140671181610396,-0.22581339472816003,0.2836808924059971,0.16064537255617992,-0.006012295597707918,0.08767255081837237,-0.06075634109865797,0.007052970381180674,-0.021129689069766734,0.006552283903174762,-0.00043182754399243,-0.007002071430151156,0.00986668609437255,-0.013246997620008603,-0.0431574495840348
vitals_resprate_max,0.15593026146534728,-0.1483205523106386,0.005693337280510668,0.001744918322613878,0.010101223444511228,0.0998950707675108,-0.21611917725116123,0.20488105293073108,-0.07050165359143631,-0.0019964026650538414,-0.05759576051381817,-0.004346668779168644,0.003821118978328602,-0.017494523889192915,0.04958619130466656,-0.022739260325733875,0.008467044185235896,-0.009988402049062638,0.02528536149625564,-0.01867268376990161
vitals_resprate_std,0.11026395816075113,-0.07697737897757388,0.0030905505600922023,0.0006358408801923547,-0.005267210959443638,0.08919396002716463,-0.06529398143316927,-0.0023175575183190687,-0.23747527137474592,0.003855973223130361,-0.16179025948748024,0.051812582958801194,-0.003323617102163567,-0.002501254015998792,0.06172723128620393,-0.030790489290771196,0.01588337942975531,-0.02272243913863856,0.04796051285647208,0.018326333212735295
vitals_resprate_first,0.12732771448234467,-0.13670258793713608,0.006487569180689932,0.0016147639799468866,0.01432042174849944,0.07695902421435376,-0.2222481806484795,0.23746596679656917,0.015952744038281518,-0.0031992220512676037,-0.004355913486465536,-0.009985998794581058,0.0025461943734834316,-0.03161479699938278,0.0195963990674976,-0.026854012672519977,-0.027764533246676975,0.020248576858737734,-0.037158801237430705,-0.07792247687541377
vitals_resprate_last,0.1276830648692634,-0.13513498172112448,0.005253850655463887,0.0029843862250683146,0.01865591269418265,0.06853084979679776,-0.2235074645506791,0.2501597128121883,0.05655163846119019,-0.004538923209907642,0.023764277519901254,-0.05107158045017791,0.009242407671618583,-0.007456257666084838,0.04129859756927179,-0.00023757007205727965,0.030258611349329438,-0.019857630177161058,0.04744374725442388,0.013812043432739339
vitals_resprate_rate_change,0.015443969276780847,-0.008647018297927713,-6.625182067493955e-06,0.001459890970559512,0.006230326138250351,0.002004169728773365,-0.009530639215034178,0.014528498656651777,0.008434494431146593,-0.003373469465183351,0.010137849225962458,-0.039702749035831736,0.008589548642208457,0.030353262008033722,0.03424093604818636,0.029938819843255606,0.07361181943891282,-0.05466588158094525,0.11129852122430418,0.11755288408960697
vitals_resprate_coeff,-0.0041058587406541175,0.005631421276994053,-0.0009303262940998809,-0.00033959357705128085,0.002006086773358931,-0.007358941389774505,-0.00018182564875636006,0.0021623944092701948,0.02726913719381874,-0.0014484728511099429,0.028139462897755946,-0.03899792520343697,0.010227111374846233,0.018733682002429464,0.031205697734260986,0.029682636392052056,0.05944236995417117,-0.03967862026439034,0.07153224956058839,0.09544922338105984
vitals_o2sat_mean,-0.10034593183860588,0.04500090515925128,-0.04607839199780222,-0.00022594074094480865,-0.2741030743558964,-0.23283593258180513,-0.17944901255779203,0.027369294988407632,-0.08060309953972734,0.008611029771963357,-0.021431816693967525,0.0364905688657381,-0.023434308811822183,0.038103231996287,0.031113195171072423,-0.014783521183646136,-0.013448782834933113,0.004309022968185487,-0.017820863646595908,0.024844892049762823
vitals_o2sat_median,-0.09259228010740463,0.042869216002842186,-0.042155860137163076,-0.00010646886772181626,-0.26530056817298237,-0.21850934862307853,-0.17332588439847263,0.025595277790806215,-0.09329738220915476,0.00825334946823676,-0.025499683008065897,0.038699464506852646,-0.01564233175774756,0.027857299088228718,0.028245199614226817,-0.014356375573562613,-0.010055433277256422,-0.001562185497023679,-0.012501164990680068,0.02014110460979852
vitals_o2sat_min,-0.10626376298457535,0.04777363125346988,-0.04525182575435796,-0.0014380883752073612,-0.23451263104288603,-0.22586612567247785,-0.1519969766738142,0.03487696173787729,0.002167194284019315,0.006900253732749195,0.02591692452414059,0.020028847688683977,-0.03537340617502146,0.04959565865864151,0.02181986177380827,-0.00557206988408249,-0.02289203972724644,0.02212027275790391,-0.0329794589961862,0.0259346053901337
vitals_o2sat_max,-0.06410566062845219,0.029575176115570534,-0.03467310809428882,0.001276455572304464,-0.24381882490082787,-0.1753711900516484,-0.16239444853379142,0.01067946768991292,-0.1551739825325719,0.007982336966214958,-0.07218963944142662,0.0459350393004622,-0.006409857141926079,0.01672704867400977,0.03764789146766887,-0.022950835381088056,-0.00036350383026230356,-0.015556764329836886,0.006377473201467884,0.01843418733315848
vitals_o2sat_std,0.0831320115769719,-0.039904640085507405,0.0312195806630847,0.0030097015928832035,0.12446429036574265,0.15637714420463356,0.0784182762353814,-0.03666171455926132,-0.10240440212042533,-0.003049300141812737,-0.08926090298953303,0.004161939984281235,0.03667044815197195,-0.046056193280548406,0.0002741675490254387,-0.00994055538984041,0.027208697291342128,-0.03868964761749172,0.044947298745486,-0.01707943663579245
vitals_o2sat_first,-0.0991076581744208,0.046632163486948645,-0.043916090334447155,0.0007376739318317008,-0.2377872588315728,-0.20495941522653663,-0.14560207970686423,0.018078565137744706,-0.05224639379055751,0.005890307560887607,-0.004285044788023348,0.02787796182886341,-0.022371397276998606,0.03212388983816589,0.0409677087024739,-0.008832228213572569,-0.011697846415765684,0.012505068046023717,-0.007810400587212038,0.023723790932826887
vitals_o2sat_last,-0.07759691846618427,0.037771061938568766,-0.037504970116317565,-0.0008028489553553767,-0.23673792716118788,-0.20493598977002822,-0.16419786147190243,0.031882091394493425,-0.07386452538020105,0.008044959882790905,-0.015033563296942503,0.035872217536992566,-0.017916794636401362,0.034158464631512675,0.015399439410875475,-0.01585333677424146,-0.01251652725928587,0.0007453603571839252,-0.015156866497351823,0.020873556354959615
vitals_o2sat_rate_change,0.01974229206762217,-0.011605967001730687,0.009774577277741404,-0.00035311982685476943,0.04972793977230299,0.04870291123497483,0.03197131072676167,-0.003728929292825899,-0.013402266910678726,-0.00032688053360973234,-0.020413025868812634,-0.0017867097989685912,0.02322733650153721,-0.018803738843403903,-0.032536463078966946,-0.007373315974192184,0.005573289477441665,-0.023120773636462942,0.00424346130751786,-0.009497148299768533
vitals_o2sat_coeff,0.015691110553932623,-0.006891574749012429,0.008092765985019503,1.710944888417021e-05,0.027631609308245063,0.016540766707331584,0.006070393831998091,0.010151508345678018,-0.0007410296020517908,-0.0006890809455676744,-0.011532131413140427,0.013042482272813327,-0.004543533393069103,7.852548315838953e-05,-0.043410779975281914,-0.013267818730575412,-0.020067092186454326,0.005736653883920121,-0.008282454097342407,-0.02295514917229423
vitals_sbp_mean,-0.13990042054974694,-0.17268036985097523,0.19462271953192556,0.029879148190550445,0.10585609683778179,-0.10253081530123626,-0.04296165009086239,-0.01266652516115284,-0.00900833449745029,0.0007673849077353771,-0.07750165738934622,-0.021706808928564924,-0.018774595187863705,0.08419587416036413,-0.12548426208165797,0.05970001480612523,-0.051804999132746686,0.10241181458546199,-0.0048036436609220565,0.05690337274415216
vitals_sbp_median,-0.13978574452069284,-0.17159771969459606,0.19367177359455423,0.02985570050016032,0.1053005899385329,-0.1025396980757655,-0.04284596539140228,-0.012318568874324354,-0.007896029122007923,0.0006920561170417781,-0.07597007242038156,-0.021884674397782113,-0.01877903201158389,0.0833403111499593,-0.1247392477962685,0.059133849356596165,-0.05073992498787743,0.10057344693804005,-0.004504069696615074,0.05673972717815283
vitals_sbp_min,-0.1538043651087891,-0.14838380617625072,0.17666687579257426,0.028302526902679176,0.1051368302070541,-0.11939515426287133,-0.032834461799550595,0.007582853479753825,0.07886221798917649,-0.0011903267634516398,-0.023431075623713504,-0.045659521152908215,-0.013418795945851015,0.0843191107819736,-0.13260501971234617,0.06400528522424605,-0.05098255477611996,0.09974088703120636,-0.008325063466625895,0.05945009256310736
vitals_sbp_max,-0.1121233298172582,-0.18229692178702175,0.19543193599775857,0.028606307269393526,0.09708499986352002,-0.0753068680283247,-0.04939522161194552,-0.03295011867482153,-0.10028220438976729,0.002843173626890089,-0.12740398954861515,0.0051540414918507275,-0.021904806195897266,0.07704306048883033,-0.10709723031327371,0.050491157177838364,-0.04920018947347622,0.09806529665907597,-0.0014193543416038891,0.04893648753675005
